date,home_team,away_team,home_score,away_score,tournament,year,month,result
2010-01-02,Qatar,Mali,0,0,Friendly,2010,1,D
2010-01-02,Syria,Zimbabwe,6,0,Friendly,2010,1,W
2010-01-03,Angola,Gambia,1,1,Friendly,2010,1,D
2010-01-04,Egypt,Mali,1,0,Friendly,2010,1,W
2010-01-04,Tanzania,Ivory Coast,0,1,Friendly,2010,1,L
2010-01-05,Ghana,Malawi,0,0,Friendly,2010,1,D
2010-01-06,Benin,Libya,1,0,Friendly,2010,1,W
2010-01-06,Gabon,Mozambique,2,0,Friendly,2010,1,W
2010-01-07,Rwanda,Ivory Coast,0,2,Friendly,2010,1,L
2010-01-09,Kenya,Cameroon,1,3,Friendly,2010,1,L
2010-01-09,Tunisia,Gambia,1,2,Friendly,2010,1,L
2010-01-09,Zambia,South Korea,4,2,Friendly,2010,1,W
2010-01-10,Angola,Mali,4,4,African Cup of Nations,2010,1,D
2010-01-11,Ivory Coast,Burkina Faso,0,0,African Cup of Nations,2010,1,D
2010-01-11,Malawi,Algeria,3,0,African Cup of Nations,2010,1,W
2010-01-12,Egypt,Nigeria,3,1,African Cup of Nations,2010,1,W
2010-01-12,Mozambique,Benin,2,2,African Cup of Nations,2010,1,D
2010-01-13,Cameroon,Gabon,0,1,African Cup of Nations,2010,1,L
2010-01-13,Zambia,Tunisia,1,1,African Cup of Nations,2010,1,D
2010-01-14,Angola,Malawi,2,0,African Cup of Nations,2010,1,W
2010-01-14,Mali,Algeria,0,1,African Cup of Nations,2010,1,L
2010-01-15,Yemen,Kenya,3,1,Friendly,2010,1,W
2010-01-15,Ivory Coast,Ghana,3,1,African Cup of Nations,2010,1,W
2010-01-16,Egypt,Mozambique,2,0,African Cup of Nations,2010,1,W
2010-01-16,Nigeria,Benin,1,0,African Cup of Nations,2010,1,W
2010-01-17,Cameroon,Zambia,3,2,African Cup of Nations,2010,1,W
2010-01-17,Gabon,Tunisia,0,0,African Cup of Nations,2010,1,D
2010-01-18,Finland,South Korea,0,2,Friendly,2010,1,L
2010-01-18,Angola,Algeria,0,0,African Cup of Nations,2010,1,D
2010-01-18,Mali,Malawi,3,1,African Cup of Nations,2010,1,W
2010-01-19,Burkina Faso,Ghana,0,1,African Cup of Nations,2010,1,L
2010-01-20,Chile,Panama,2,1,Friendly,2010,1,W
2010-01-20,Oman,Sweden,0,1,Friendly,2010,1,L
2010-01-20,Egypt,Benin,2,0,African Cup of Nations,2010,1,W
2010-01-20,Nigeria,Mozambique,3,0,African Cup of Nations,2010,1,W
2010-01-21,Cameroon,Tunisia,2,2,African Cup of Nations,2010,1,D
2010-01-21,Gabon,Zambia,1,2,African Cup of Nations,2010,1,L
2010-01-22,Latvia,South Korea,0,1,Friendly,2010,1,L
2010-01-23,Syria,Sweden,1,1,Friendly,2010,1,D
2010-01-23,United States,Honduras,1,3,Friendly,2010,1,L
2010-01-24,Angola,Ghana,0,1,African Cup of Nations,2010,1,L
2010-01-24,Ivory Coast,Algeria,2,3,African Cup of Nations,2010,1,L
2010-01-25,Egypt,Cameroon,3,1,African Cup of Nations,2010,1,W
2010-01-25,Zambia,Nigeria,0,0,African Cup of Nations,2010,1,D
2010-01-26,Argentina,Costa Rica,3,2,Friendly,2010,1,W
2010-01-27,South Africa,Zimbabwe,3,0,Friendly,2010,1,W
2010-01-28,Algeria,Egypt,0,4,African Cup of Nations,2010,1,L
2010-01-28,Ghana,Nigeria,1,0,African Cup of Nations,2010,1,W
2010-01-30,Nigeria,Algeria,1,0,African Cup of Nations,2010,1,W
2010-01-31,Jamaica,Canada,1,0,Friendly,2010,1,W
2010-01-31,Ghana,Egypt,0,1,African Cup of Nations,2010,1,L
2010-02-02,Japan,Venezuela,0,0,Friendly,2010,2,D
2010-02-10,Argentina,Jamaica,2,1,Friendly,2010,2,W
2010-02-19,Kuwait,Syria,1,1,Friendly,2010,2,D
2010-02-24,Mexico,Bolivia,5,0,Friendly,2010,2,W
2010-02-24,United States,El Salvador,2,1,Friendly,2010,2,W
2010-02-25,Jordan,Azerbaijan,0,2,Friendly,2010,2,L
2010-02-25,Kuwait,Bahrain,4,1,Friendly,2010,2,W
2010-02-27,Malaysia,Yemen,1,0,Friendly,2010,2,W
2010-03-02,Guadeloupe,Saint Kitts And Nevis,2,1,Friendly,2010,3,W
2010-03-02,Republic Of Ireland,Brazil,0,2,Friendly,2010,3,L
2010-03-03,Albania,Northern Ireland,1,0,Friendly,2010,3,W
2010-03-03,Algeria,Serbia,0,3,Friendly,2010,3,L
2010-03-03,Angola,Latvia,1,1,Friendly,2010,3,D
2010-03-03,Armenia,Belarus,1,3,Friendly,2010,3,L
2010-03-03,Austria,Denmark,2,1,Friendly,2010,3,W
2010-03-03,Belgium,Croatia,0,1,Friendly,2010,3,L
2010-03-03,Bosnia And Herzegovina,Ghana,2,1,Friendly,2010,3,W
2010-03-03,Cyprus,Iceland,0,0,Friendly,2010,3,D
2010-03-03,El Salvador,Guatemala,1,2,Friendly,2010,3,L
2010-03-03,England,Egypt,3,1,Friendly,2010,3,W
2010-03-03,France,Spain,0,2,Friendly,2010,3,L
2010-03-03,Georgia,Estonia,2,1,Friendly,2010,3,W
2010-03-03,Germany,Argentina,0,1,Friendly,2010,3,L
2010-03-03,Greece,Senegal,0,2,Friendly,2010,3,L
2010-03-03,Hungary,Russia,1,1,Friendly,2010,3,D
2010-03-03,Italy,Cameroon,0,0,Friendly,2010,3,D
2010-03-03,Ivory Coast,South Korea,0,2,Friendly,2010,3,L
2010-03-03,Kazakhstan,Moldova,0,1,Friendly,2010,3,L
2010-03-03,Libya,Mali,2,1,Friendly,2010,3,W
2010-03-03,Luxembourg,Azerbaijan,1,2,Friendly,2010,3,L
2010-03-03,North Macedonia,Montenegro,2,1,Friendly,2010,3,W
2010-03-03,Malta,Finland,1,2,Friendly,2010,3,L
2010-03-03,Mexico,New Zealand,2,0,Friendly,2010,3,W
2010-03-03,Mozambique,Botswana,0,1,Friendly,2010,3,L
2010-03-03,Netherlands,United States,2,1,Friendly,2010,3,W
2010-03-03,Nigeria,Dr Congo,5,2,Friendly,2010,3,W
2010-03-03,Poland,Bulgaria,2,0,Friendly,2010,3,W
2010-03-03,Portugal,China Pr,2,0,Friendly,2010,3,W
2010-03-03,Romania,Israel,0,2,Friendly,2010,3,L
2010-03-03,Scotland,Czech Republic,1,0,Friendly,2010,3,W
2010-03-03,Slovakia,Norway,0,1,Friendly,2010,3,L
2010-03-03,Slovenia,Qatar,4,1,Friendly,2010,3,W
2010-03-03,South Africa,Namibia,1,1,Friendly,2010,3,D
2010-03-03,Switzerland,Uruguay,1,3,Friendly,2010,3,L
2010-03-03,Tanzania,Uganda,2,3,Friendly,2010,3,L
2010-03-03,Turkey,Honduras,2,0,Friendly,2010,3,W
2010-03-03,Venezuela,Panama,1,2,Friendly,2010,3,L
2010-03-03,Wales,Sweden,0,1,Friendly,2010,3,L
2010-03-03,Zimbabwe,Malawi,2,1,Friendly,2010,3,W
2010-03-06,Venezuela,North Korea,2,1,Friendly,2010,3,W
2010-03-07,Niger,Benin,2,0,Friendly,2010,3,W
2010-03-17,Mexico,North Korea,2,1,Friendly,2010,3,W
2010-03-21,Iceland,Faroe Islands,2,0,Friendly,2010,3,W
2010-03-21,Namibia,Botswana,0,0,Friendly,2010,3,D
2010-03-24,Martinique,Haiti,0,0,Friendly,2010,3,D
2010-03-24,Mexico,Iceland,0,0,Friendly,2010,3,D
2010-03-31,Chile,Venezuela,0,0,Friendly,2010,3,D
2010-03-31,Paraguay,South Africa,1,1,Friendly,2010,3,D
2010-04-03,Saint Kitts And Nevis,Guadeloupe,3,0,Friendly,2010,4,W
2010-04-07,Japan,Serbia,0,3,Friendly,2010,4,L
2010-04-21,Honduras,Venezuela,0,1,Friendly,2010,4,L
2010-04-22,South Africa,North Korea,0,0,Friendly,2010,4,D
2010-04-28,South Africa,Jamaica,2,0,Friendly,2010,4,W
2010-05-05,Argentina,Haiti,4,0,Friendly,2010,5,W
2010-05-05,Chile,Trinidad And Tobago,2,0,Friendly,2010,5,W
2010-05-07,Mexico,Ecuador,0,0,Friendly,2010,5,D
2010-05-10,Mexico,Senegal,1,0,Friendly,2010,5,W
2010-05-12,Yemen,Malawi,1,0,Friendly,2010,5,W
2010-05-13,Germany,Malta,3,0,Friendly,2010,5,W
2010-05-13,Mexico,Angola,1,0,Friendly,2010,5,W
2010-05-15,Paraguay,North Korea,1,0,Friendly,2010,5,W
2010-05-16,South Korea,Ecuador,2,0,Friendly,2010,5,W
2010-05-16,Mexico,Chile,1,0,Friendly,2010,5,W
2010-05-16,South Africa,Thailand,4,0,Friendly,2010,5,W
2010-05-18,Yemen,Oman,0,1,Friendly,2010,5,L
2010-05-19,Austria,Croatia,0,1,Friendly,2010,5,L
2010-05-19,Belgium,Bulgaria,2,1,Friendly,2010,5,W
2010-05-19,Gabon,Togo,3,0,Friendly,2010,5,W
2010-05-19,Corsica,Brittany,2,0,Friendly,2010,5,W
2010-05-20,Aruba,Venezuela,0,3,Friendly,2010,5,L
2010-05-21,Dr Congo,Saudi Arabia,0,2,Friendly,2010,5,L
2010-05-21,Estonia,Finland,2,0,Friendly,2010,5,W
2010-05-21,Brittany,Togo,2,1,Friendly,2010,5,W
2010-05-21,Corsica,Gabon,1,1,Friendly,2010,5,D
2010-05-22,Turkey,Czech Republic,2,1,Friendly,2010,5,W
2010-05-23,Croatia,Wales,2,0,Friendly,2010,5,W
2010-05-24,Argentina,Canada,5,0,Friendly,2010,5,W
2010-05-24,Australia,New Zealand,2,1,Friendly,2010,5,W
2010-05-24,England,Mexico,3,1,Friendly,2010,5,W
2010-05-24,Japan,South Korea,0,2,Friendly,2010,5,L
2010-05-24,Portugal,Cape Verde,0,0,Friendly,2010,5,D
2010-05-24,South Africa,Bulgaria,1,1,Friendly,2010,5,D
2010-05-25,Armenia,Uzbekistan,3,1,Friendly,2010,5,W
2010-05-25,Georgia,Cameroon,0,0,Friendly,2010,5,D
2010-05-25,Greece,North Korea,2,2,Friendly,2010,5,D
2010-05-25,Republic Of Ireland,Paraguay,2,1,Friendly,2010,5,W
2010-05-25,Montenegro,Albania,0,1,Friendly,2010,5,L
2010-05-25,Nigeria,Saudi Arabia,0,0,Friendly,2010,5,D
2010-05-25,Ukraine,Lithuania,4,0,Friendly,2010,5,W
2010-05-25,United States,Czech Republic,2,4,Friendly,2010,5,L
2010-05-26,Azerbaijan,Moldova,1,1,Friendly,2010,5,D
2010-05-26,Chile,Zambia,3,0,Friendly,2010,5,W
2010-05-26,Estonia,Croatia,0,0,Friendly,2010,5,D
2010-05-26,France,Costa Rica,2,1,Friendly,2010,5,W
2010-05-26,Netherlands,Mexico,2,1,Friendly,2010,5,W
2010-05-26,Northern Ireland,Turkey,0,2,Friendly,2010,5,L
2010-05-26,Uruguay,Israel,4,1,Friendly,2010,5,W
2010-05-27,Belarus,Honduras,2,2,Friendly,2010,5,D
2010-05-27,Denmark,Senegal,2,0,Friendly,2010,5,W
2010-05-27,South Africa,Colombia,2,1,Friendly,2010,5,W
2010-05-28,Republic Of Ireland,Algeria,3,0,Friendly,2010,5,W
2010-05-29,Azerbaijan,North Macedonia,1,3,Friendly,2010,5,L
2010-05-29,Hungary,Germany,0,3,Friendly,2010,5,L
2010-05-29,Iceland,Andorra,4,0,Friendly,2010,5,W
2010-05-29,Moldova,United Arab Emirates,2,3,Friendly,2010,5,L
2010-05-29,New Zealand,Serbia,1,0,Friendly,2010,5,W
2010-05-29,Norway,Montenegro,2,1,Friendly,2010,5,W
2010-05-29,Poland,Finland,0,0,Friendly,2010,5,D
2010-05-29,Slovakia,Cameroon,1,1,Friendly,2010,5,D
