Year,Date,Time,home_team,away_team,home_score,away_score,stage,SpecialWinConditions,Stadium,City,Attendance,year,is_penalty_shootout,result
1957,2057-02-10,,Sudan,Egypt,1.0,2.0,Semifinals,,Municipal Stadium, Khartoum,30000.0,1957,False,L
1957,2057-02-16,,Egypt,Ethiopia,4.0,0.0,Final,,Municipal Stadium, Khartoum,30000.0,1957,False,W
1959,2059-05-22,,Egypt,Ethiopia,4.0,0.0,Final Tournament,,Prince Farouk Stadium, Cairo,30000.0,1959,False,W
1959,2059-05-25,,Sudan,Ethiopia,1.0,0.0,Final Tournament,,Prince Farouk Stadium, Cairo,20000.0,1959,False,W
1959,2059-05-29,,Egypt,Sudan,2.0,1.0,Final Tournament,,Prince Farouk Stadium, Cairo,30000.0,1959,False,W
1962,2062-01-14,,Ethiopia,Tunisia,4.0,2.0,Semifinals,,Hailé Sélassié Stadium, Addis Ababa,30000.0,1962,False,W
1962,2062-01-18,,Egypt,Uganda,2.0,1.0,Semifinals,,Hailé Sélassié Stadium, Addis Ababa,30000.0,1962,False,W
1962,2062-01-20,,Tunisia,Uganda,3.0,0.0,Third place match,,Hailé Sélassié Stadium, Addis Ababa,,1962,False,W
1962,2062-01-21,,Ethiopia,Egypt,4.0,2.0,Final, win after extra time ,Hailé Sélassié Stadium, Addis Ababa,,1962,False,W
1963,2063-11-24,,Ghana,Tunisia,1.0,1.0,Group A,,Accra Sports Stadium, Accra,,1963,False,D
1963,2063-11-26,,Ghana,Ethiopia,2.0,0.0,Group A,,Accra Sports Stadium, Accra,,1963,False,W
1963,2063-11-28,,Ethiopia,Tunisia,4.0,2.0,Group A,,Accra Sports Stadium, Accra,,1963,False,W
1963,2063-11-24,,Egypt,Nigeria,6.0,3.0,Group B,,Kumasi Sports Stadium, Kumasi,,1963,False,W
1963,2063-11-26,,Egypt,Sudan,2.0,2.0,Group B,,Kumasi Sports Stadium, Kumasi,,1963,False,D
1963,2063-11-28,,Sudan,Nigeria,4.0,0.0,Group B,,Kumasi Sports Stadium, Kumasi,,1963,False,W
1963,2063-11-30,,Egypt,Ethiopia,3.0,0.0,Third place match,,Accra Sports Stadium, Accra,,1963,False,W
1963,2063-12-01,,Ghana,Sudan,3.0,0.0,Final,,Accra Sports Stadium, Accra,,1963,False,W
1965,2065-11-12,,Tunisia,Ethiopia,4.0,0.0,Group A,,Stade Chedli Zouiten, Tunis,16000.0,1965,False,W
1965,2065-11-14,,Senegal,Tunisia,0.0,0.0,Group A,,Stade Chedli Zouiten, Tunis,,1965,False,D
1965,2065-11-19,,Senegal,Ethiopia,5.0,1.0,Group A,,Stade Chedli Zouiten, Tunis,,1965,False,W
1965,2065-11-12,,Ghana,Congo-LéOpoldville,5.0,2.0,Group B,,Stade Bou Ali Lahouar, Sousse,,1965,False,W
1965,2065-11-14,,Ivory Coast,Congo-LéOpoldville,3.0,0.0,Group B,,Stade Taïeb Mhiri, Sfax,,1965,False,W
1965,2065-11-19,,Ghana,Ivory Coast,4.0,1.0,Group B,,Stade Ahmed Bsiri, Bizerte,,1965,False,W
1965,2065-11-21,,Senegal,Ivory Coast,0.0,1.0,Third place match,,Stade Chedli Zouiten, Tunis,,1965,False,L
1965,2065-11-21,,Ghana,Tunisia,3.0,2.0,Final, win after extra time ,Stade Chedli Zouiten, Tunis,,1965,False,W
1968,2068-01-12,,Ethiopia,Uganda,2.0,1.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000.0,1968,False,W
1968,2068-01-12,,Ivory Coast,Algeria,3.0,0.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000.0,1968,False,W
1968,2068-01-14,,Ethiopia,Ivory Coast,1.0,0.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,25000.0,1968,False,W
1968,2068-01-14,,Algeria,Uganda,4.0,0.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,25000.0,1968,False,W
1968,2068-01-16,,Ivory Coast,Uganda,2.0,1.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,15000.0,1968,False,W
1968,2068-01-16,,Ethiopia,Algeria,3.0,1.0,Group A,,Hailé Sélassié Stadium, Addis Ababa,20000.0,1968,False,W
1968,2068-01-12,,Ghana,Senegal,2.0,2.0,Group B,,Cicero Stadium, Asmara,3000.0,1968,False,D
1968,2068-01-12,,Congo-Kinshasa,Congo-Brazzaville,3.0,0.0,Group B,,Cicero Stadium, Asmara,4000.0,1968,False,W
1968,2068-01-14,,Senegal,Congo-Brazzaville,2.0,1.0,Group B,,Cicero Stadium, Asmara,3000.0,1968,False,W
1968,2068-01-14,,Ghana,Congo-Kinshasa,2.0,1.0,Group B,,Cicero Stadium, Asmara,3000.0,1968,False,W
1968,2068-01-16,,Congo-Kinshasa,Senegal,2.0,1.0,Group B,,Cicero Stadium, Asmara,3000.0,1968,False,W
