country_full,rank,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
Algeria,44.0,ALG,1474.13,1482.71,1,CAF,2024-06-20
Angola,92.0,ANG,1248.94,1235.76,-2,CAF,2024-06-20
Benin,91.0,BEN,1254.18,1225.68,-6,CAF,2024-06-20
Botswana,145.0,BOT,1064.19,1065.07,-1,CAF,2024-06-20
Burkina Faso,67.0,BFA,1375.16,1390.38,5,CAF,2024-06-20
Burundi,140.0,BDI,1091.24,1081.63,0,CAF,2024-06-20
Cabo Verde,65.0,CPV,1380.53,1383.44,0,CAF,2024-06-20
Cameroon,49.0,CMR,1458.47,1452.59,-2,CAF,2024-06-20
Central African Republic,127.0,CTA,1129.3,1128.17,-1,CAF,2024-06-20
Chad,178.0,CHA,929.97,945.92,2,CAF,2024-06-20
Comoros,119.0,COM,1158.71,1163.02,2,CAF,2024-06-20
Congo,113.0,CGO,1176.45,1179.8,2,CAF,2024-06-20
Congo Dr,61.0,COD,1400.93,1388.25,-2,CAF,2024-06-20
Côte D'Ivoire,37.0,CIV,1499.69,1498.8,-1,CAF,2024-06-20
Djibouti,193.0,DJI,875.13,877.28,1,CAF,2024-06-20
Egypt,36.0,EGY,1502.34,1499.72,-1,CAF,2024-06-20
Equatorial Guinea,89.0,EQG,1260.5,1308.03,10,CAF,2024-06-20
Eritrea,195.0,ERI,855.56,0.0,0,CAF,2024-06-20
Eswatini,154.0,SWZ,1025.18,1048.89,6,CAF,2024-06-20
Ethiopia,143.0,ETH,1066.16,1068.48,-2,CAF,2024-06-20
Gabon,83.0,GAB,1288.45,1287.33,-1,CAF,2024-06-20
Ghana,64.0,GHA,1381.25,1358.77,-4,CAF,2024-06-20
Guinea,77.0,GUI,1324.8,1324.65,1,CAF,2024-06-20
Guinea-Bissau,115.0,GNB,1168.49,1163.44,-1,CAF,2024-06-20
Kenya,108.0,KEN,1195.45,1191.24,1,CAF,2024-06-20
Lesotho,149.0,LES,1050.83,1047.58,0,CAF,2024-06-20
Liberia,142.0,LBR,1067.05,1029.58,-10,CAF,2024-06-20
Libya,118.0,LBY,1165.73,1166.71,4,CAF,2024-06-20
Madagascar,104.0,MAD,1203.66,1185.86,-5,CAF,2024-06-20
Malawi,125.0,MWI,1137.83,1140.93,0,CAF,2024-06-20
Mali,50.0,MLI,1456.74,1477.9,6,CAF,2024-06-20
Mauritania,112.0,MTN,1177.5,1195.5,7,CAF,2024-06-20
Mauritius,179.0,MRI,927.94,919.4,-4,CAF,2024-06-20
Morocco,12.0,MAR,1669.44,1661.42,-1,CAF,2024-06-20
Mozambique,103.0,MOZ,1205.82,1184.49,-7,CAF,2024-06-20
Namibia,97.0,NAM,1219.83,1192.13,-9,CAF,2024-06-20
Niger,128.0,NIG,1125.5,1125.5,-1,CAF,2024-06-20
Nigeria,38.0,NGA,1498.93,1520.27,8,CAF,2024-06-20
Rwanda,131.0,RWA,1114.15,1112.44,0,CAF,2024-06-20
Sao Tome And Principe,192.0,STP,878.09,893.58,4,CAF,2024-06-20
Senegal,18.0,SEN,1623.34,1624.73,1,CAF,2024-06-20
Seychelles,201.0,SEY,831.96,845.53,4,CAF,2024-06-20
Sierra Leone,122.0,SLE,1149.4,1137.36,-4,CAF,2024-06-20
Somalia,202.0,SOM,829.81,842.64,3,CAF,2024-06-20
South Africa,59.0,RSA,1416.66,1407.67,0,CAF,2024-06-20
South Sudan,167.0,SSD,980.02,984.65,0,CAF,2024-06-20
Sudan,121.0,SDN,1152.29,1129.32,-6,CAF,2024-06-20
Tanzania,114.0,TAN,1174.99,1159.81,-5,CAF,2024-06-20
The Gambia,132.0,GAM,1112.55,1114.8,2,CAF,2024-06-20
Togo,120.0,TOG,1158.7,1170.34,7,CAF,2024-06-20
Tunisia,41.0,TUN,1494.06,1493.12,0,CAF,2024-06-20
Uganda,94.0,UGA,1242.96,1242.15,2,CAF,2024-06-20
Zaire,59.0,ZAI,496.0,493.0,-1,CAF,1999-11-17
Zambia,90.0,ZAM,1258.4,1278.26,4,CAF,2024-06-20
Zimbabwe,129.0,ZIM,1122.54,1143.66,7,CAF,2024-06-20
