match_id,date,team1,team2,fifa_rank_diff,team1_last5_points,team2_last5_points,team1_last5_goal_diff,team2_last5_goal_diff,team1_can_win_rate,team2_can_win_rate,h2h_total_matches,h2h_team1_win_rate,team1_is_host,team2_is_host,stage_group,days_since_last_match_team1,days_since_last_match_team2,team1_can_titles,team2_can_titles,form_momentum_diff,can_performance_diff,h2h_dominance,titles_advantage,result
1,2010-01-02,Qatar,Mali,50.0,7.5,7.5,0.0,0.0,0.35,0.3518518518518518,0,0.33,0,0,0,7,7,0,0,0.0,-0.0018518518518518268,-0.16999999999999998,0,D
2,2010-01-02,Syria,Zimbabwe,-29.0,7.5,7.5,0.0,0.0,0.35,0.2,0,0.33,0,0,0,7,7,0,0,0.0,0.14999999999999997,-0.16999999999999998,0,W
3,2010-01-03,Angola,Gambia,-8.0,7.5,7.5,0.0,0.0,0.1538461538461538,0.6,0,0.33,1,0,0,7,7,0,0,0.0,-0.4461538461538462,-0.16999999999999998,0,D
4,2010-01-04,Egypt,Mali,-14.0,7.5,1.0,0.0,0.0,0.5607476635514018,0.3518518518518518,0,0.33,0,0,0,7,7,7,0,0.0,0.20889581169955002,-0.16999999999999998,7,W
5,2010-01-04,Tanzania,Ivory Coast,14.0,7.5,7.5,0.0,0.0,0.0,0.4444444444444444,0,0.33,0,0,0,7,7,0,2,0.0,-0.4444444444444444,-0.16999999999999998,-2,L
6,2010-01-05,Ghana,Malawi,-61.0,7.5,7.5,0.0,0.0,0.5294117647058824,0.2,0,0.33,0,0,0,7,7,4,0,0.0,0.32941176470588235,-0.16999999999999998,4,D
7,2010-01-06,Benin,Libya,-27.0,7.5,7.5,0.0,0.0,0.0,0.2727272727272727,0,0.33,0,0,0,7,7,0,0,0.0,-0.2727272727272727,-0.16999999999999998,0,W
8,2010-01-06,Gabon,Mozambique,-20.0,7.5,7.5,0.0,0.0,0.28,0.0,0,0.33,0,0,0,7,7,0,0,0.0,0.28,-0.16999999999999998,0,W
9,2010-01-07,Rwanda,Ivory Coast,31.0,7.5,3.0,0.0,1.0,0.3333333333333333,0.4444444444444444,0,0.33,0,0,0,7,7,0,2,-1.0,-0.1111111111111111,-0.16999999999999998,-2,L
10,2010-01-09,Kenya,Cameroon,59.0,7.5,7.5,0.0,0.0,0.1176470588235294,0.4945054945054945,0,0.33,0,0,0,7,7,0,5,0.0,-0.37685843568196514,-0.16999999999999998,-5,L
11,2010-01-09,Tunisia,Gambia,-59.0,7.5,1.0,0.0,0.0,0.3125,0.6,0,0.33,0,0,0,7,7,1,0,0.0,-0.2875,-0.16999999999999998,1,L
12,2010-01-09,Zambia,South Korea,-10.0,7.5,7.5,0.0,0.0,0.3880597014925373,0.35,0,0.33,0,0,0,7,7,1,0,0.0,0.038059701492537346,-0.16999999999999998,1,W
13,2010-01-10,Angola,Mali,42.0,1.0,1.0,0.0,-0.5,0.1538461538461538,0.3518518518518518,0,0.33,1,0,1,7,7,0,0,0.5,-0.198005698005698,-0.16999999999999998,0,D
14,2010-01-11,Ivory Coast,Burkina Faso,33.0,6.0,7.5,1.5,0.0,0.4444444444444444,0.1875,0,0.33,0,0,1,7,7,2,0,1.5,0.2569444444444444,-0.16999999999999998,2,D
15,2010-01-11,Malawi,Algeria,81.0,1.0,7.5,0.0,0.0,0.2,0.3636363636363636,0,0.33,0,0,1,7,7,0,2,0.0,-0.16363636363636358,-0.16999999999999998,-2,W
16,2010-01-12,Egypt,Nigeria,-2.0,3.0,7.5,1.0,0.0,0.5607476635514018,0.5463917525773195,0,0.33,0,0,1,7,7,7,3,1.0,0.014355910974082287,-0.16999999999999998,4,W
17,2010-01-12,Mozambique,Benin,12.0,0.0,3.0,-2.0,1.0,0.0,0.0,0,0.33,0,0,1,7,7,0,0,-3.0,0.0,-0.16999999999999998,0,D
18,2010-01-13,Zambia,Tunisia,49.0,3.0,0.0,2.0,-1.0,0.3880597014925373,0.3125,0,0.33,0,0,1,7,7,1,1,3.0,0.07555970149253732,-0.16999999999999998,0,D
19,2010-01-13,Cameroon,Gabon,-34.0,3.0,3.0,2.0,2.0,0.4945054945054945,0.28,0,0.33,0,0,1,7,7,5,0,0.0,0.2145054945054945,-0.16999999999999998,5,L
20,2010-01-14,Angola,Malawi,-33.0,2.0,4.0,0.0,1.5,0.1538461538461538,0.2,0,0.33,1,0,1,7,7,0,0,-1.5,-0.04615384615384621,-0.16999999999999998,0,W
21,2010-01-14,Mali,Algeria,6.0,2.0,0.0,-0.3333333333333333,-3.0,0.3518518518518518,0.3636363636363636,0,0.33,0,0,1,7,7,0,2,2.6666666666666665,-0.011784511784511786,-0.16999999999999998,-2,L
22,2010-01-15,Yemen,Kenya,-8.0,7.5,0.0,0.0,-2.0,0.35,0.1176470588235294,0,0.33,0,0,0,7,7,0,0,2.0,0.2323529411764706,-0.16999999999999998,0,W
